secondary_substation_unique_id,geometry
SSEN-2500011040,POINT (-0.349228 51.532892)
SSEN-2500011060,POINT (-0.349262 51.531552)
SSEN-2500011080,POINT (-0.352714 51.52858)
SSEN-2500011190,POINT (-0.348811 51.528884)
SSEN-2500011210,POINT (-0.346937 51.523301)
SSEN-2500014020,POINT (-0.349871 51.536255)
SSEN-2500014040,POINT (-0.351235 51.535222)
SSEN-2500014060,POINT (-0.357374 51.536918)
SSEN-2500014080,POINT (-0.357294 51.534336)
SSEN-2500014100,POINT (-0.360259 51.534476)
SSEN-2500014120,POINT (-0.362799 51.533613)
SSEN-2500014140,POINT (-0.361591 51.535538)
SSEN-2500014160,POINT (-0.365178 51.535633)
SSEN-2500014180,POINT (-0.368319 51.534894)
SSEN-2500014280,POINT (-0.358994 51.532363)
SSEN-2500014300,POINT (-0.347077 51.520641)
SSEN-2500014320,POINT (-0.346096 51.522255)
SSEN-2501005012,POINT (-0.26703 51.499505)
SSEN-2501006015,POINT (-0.271249 51.500353)
SSEN-2501006035,POINT (-0.27402 51.499068)
SSEN-2501006120,POINT (-0.276661 51.500862)
SSEN-2501006155,POINT (-0.28351 51.50265)
SSEN-2501006165,POINT (-0.283525 51.503559)
SSEN-2501007012,POINT (-0.268448 51.503896)
SSEN-2501007032,POINT (-0.272539 51.504694)
SSEN-2501007052,POINT (-0.273497 51.508187)
SSEN-2501008012,POINT (-0.258315 51.502469)
SSEN-2501008022,POINT (-0.250869 51.505029)
SSEN-2501008042,POINT (-0.251419 51.498931)
SSEN-2501008052,POINT (-0.248496 51.497008)
SSEN-2501008062,POINT (-0.246709 51.495156)
SSEN-2501008072,POINT (-0.245583 51.492594)
SSEN-2501008082,POINT (-0.247884 51.493438)
SSEN-2501008092,POINT (-0.248002 51.494229)
SSEN-2501008102,POINT (-0.250027 51.493164)
SSEN-2501008112,POINT (-0.248514 51.490903)
SSEN-2501009022,POINT (-0.259683 51.502876)
SSEN-2501009032,POINT (-0.262417 51.502224)
SSEN-2501009042,POINT (-0.26487 51.503627)
SSEN-2501009052,POINT (-0.255921 51.50479)
SSEN-2501009062,POINT (-0.256194 51.505567)
SSEN-2501009102,POINT (-0.249255 51.505861)
SSEN-2501009112,POINT (-0.249463 51.505341)
SSEN-2501009142,POINT (-0.248206 51.506446)
SSEN-2501009152,POINT (-0.249456 51.506177)
SSEN-2501009162,POINT (-0.248254 51.508587)
SSEN-2501009182,POINT (-0.24754 51.504665)
SSEN-2501010022,POINT (-0.272218 51.506703)
SSEN-2501011022,POINT (-0.265122 51.508397)
SSEN-2501011062,POINT (-0.271331 51.509218)
SSEN-2501011082,POINT (-0.269851 51.510616)
SSEN-2501011092,POINT (-0.272664 51.513185)
SSEN-2501011102,POINT (-0.270162 51.513426)
SSEN-2501011112,POINT (-0.274833 51.512245)
SSEN-2501011122,POINT (-0.276669 51.514754)
SSEN-2501011132,POINT (-0.279288 51.513336)
SSEN-2501012020,POINT (-0.266102 51.501164)
SSEN-2501012060,POINT (-0.26237 51.499292)
SSEN-2501014032,POINT (-0.268371 51.507069)
SSEN-2501014042,POINT (-0.269549 51.507159)
SSEN-2501014052,POINT (-0.274109 51.509294)
SSEN-2501014092,POINT (-0.27554 51.50918)
SSEN-2501014112,POINT (-0.280643 51.508193)
SSEN-2501014122,POINT (-0.278356 51.508628)
SSEN-2501015012,POINT (-0.255206 51.501272)
SSEN-2501015022,POINT (-0.258176 51.49932)
SSEN-2501015032,POINT (-0.256093 51.499549)
SSEN-2501015042,POINT (-0.255428 51.497723)
SSEN-2501015052,POINT (-0.256622 51.497003)
SSEN-2501016055,POINT (-0.272348 51.49756)
SSEN-2501016065,POINT (-0.270201 51.495289)
SSEN-2501016095,POINT (-0.268785 51.497291)
SSEN-2501016105,POINT (-0.266294 51.497246)
SSEN-2501016125,POINT (-0.267094 51.495153)
SSEN-2501016135,POINT (-0.264893 51.4962)
SSEN-2501016145,POINT (-0.264991 51.498171)
SSEN-2501016155,POINT (-0.260733 51.495734)
