day,hour,soc,action_power
28,3,1.0,0.40000000000095004
28,4,1.0,1.94990192e-12
28,5,0.66779184,-0.31559775
28,6,0.41810763,-0.2372
28,7,0.42105263,0.0031
28,8,0.0,-0.4
28,9,0.0,0.0
28,10,0.0,0.0
28,11,0.0,0.0
28,12,0.0,0.0
28,13,0.38,0.4
28,14,0.76,0.4
28,15,1.0,0.25263158
28,16,1.0,0.0
28,17,0.57894737,-0.4
28,18,0.15789474,-0.4
28,19,0.0,-0.15
28,20,0.0,0.0
28,21,0.0,0.0
28,22,0.0,0.0
28,23,0.0,-1e-12
29,0,1e-12,9.5e-13
29,1,2e-12,9.5e-13
29,2,3e-12,9.5e-13
29,3,0.38,0.40000000000095004
29,4,0.38,9.5e-13
29,5,0.38,9.5e-13
29,6,0.38,9.5e-13
29,7,0.38,9.5e-13
29,8,0.0,-0.361
29,9,0.0,0.0
29,10,1e-12,9.5e-13
29,11,0.38,0.40000000000095004
29,12,0.76,0.4
29,13,0.76,0.0
29,14,1.0,0.25263158
29,15,1.0,0.0
29,16,1.0,0.0
29,17,0.85021053,-0.1423
29,18,0.42915789,-0.4
29,19,0.24284211,-0.177
29,20,0.0,-0.2307
29,21,0.0,0.0
29,22,0.0,0.0
29,23,0.0,-1e-12
30,0,0.0,0.0
30,1,0.0,0.0
30,2,0.0,0.0
30,3,0.0,0.0
30,4,0.0,0.0
30,5,0.0,0.0
30,6,0.0,0.0
30,7,0.0,0.0
30,8,0.0,0.0
30,9,0.0,0.0
30,10,0.0,0.0
30,11,0.0,0.0
30,12,-1.0526316e-12,-1e-12
30,13,0.24,0.25263158
30,14,0.62,0.4
30,15,1.0,0.4
30,16,0.84210526,-0.15
30,17,0.42105263,-0.4
30,18,0.0,-0.4
30,19,0.0,0.0
30,20,0.0,0.0
30,21,0.0,0.0
30,22,0.0,0.0
30,23,0.0,0.0
31,0,0.38,0.40000000000095004
31,1,0.42105263,0.043213296000949995
31,2,0.0,-0.4
31,3,0.0,0.0
31,4,0.0,0.0
31,5,0.0,0.0
31,6,0.0,0.0
31,7,0.0,0.0
31,8,0.0,0.0
31,9,0.0,0.0
31,10,0.0,0.0
31,11,0.0,0.0
31,12,0.0,0.0
31,13,0.24,0.25263158000095004
31,14,0.62,0.4
31,15,1.0,0.40000000000095004
31,16,1.0,1.94990192e-12
31,17,0.57894737,-0.4
31,18,0.15789474,-0.4
31,19,0.0,-0.15
31,20,0.0,0.0
31,21,1e-12,9.5e-13
31,22,0.0,-9.5e-13
31,23,0.0,0.0
32,0,0.38,0.40000000000095004
32,1,0.76,0.40000000000095004
32,2,1.0,0.25263158000095004
32,3,1.0,1.94990192e-12
32,4,1.0,1.94966818e-12
32,5,0.77042105,-0.2181
32,6,0.51568421,-0.242
32,7,0.094631579,-0.4
32,8,0.0,-0.0899
32,9,0.0,0.0
32,10,0.0,0.0
32,11,0.0,0.0
32,12,0.0,0.0
32,13,0.38,0.4
32,14,0.76,0.4
32,15,1.0,0.25263158
32,16,1.0,-5.0204285e-14
32,17,0.98684211,-0.0125
32,18,0.70978947,-0.2632
32,19,0.29126316,-0.3976
32,20,0.0,-0.2767
32,21,0.0,0.0
32,22,0.0,0.0
32,23,0.0,-1e-12
33,0,0.38,0.40000000000095004
33,1,0.76,0.40000000000095004
33,2,0.97684211,0.22825485000095
33,3,0.97684211,9.5e-13
33,4,0.97684211,9.5e-13
33,5,0.87157895,-0.1
33,6,0.84210526,-0.028
33,7,0.42105263,-0.4
33,8,0.0,-0.4
33,9,0.0,0.0
33,10,0.0,0.0
33,11,1e-12,9.5e-13
33,12,2e-12,9.5e-13
33,13,0.38,0.40000000000095004
33,14,0.76,0.40000000000095004
33,15,1.0,0.25263158000095004
33,16,1.0,0.0
33,17,1.0,0.0
33,18,0.65073684,-0.3318
33,19,0.30052632,-0.3327
33,20,0.0,-0.2855
33,21,0.0,0.0
