day,hour,soc,action_scalar,action_power,demand_delta,import_price,export_price,spread,net_community,raw_demand,modified_demand
90,12,0.76,1.0,0.4,0.4,0.4440000057220459,0.22110000252723694,0.22290000319480896,-0.024399999529123306,0.5674999952316284,0.9674999713897705
90,13,1.0,1.0,0.4,0.25263157894736843,0.4620000123977661,0.22910000383853912,0.232900008559227,0.05939999967813492,0.6216999888420105,0.8743315677893789
90,14,1.0,1.0,0.4,0.0,0.492000013589859,0.2425999939441681,0.24940001964569092,0.1396999955177307,0.6736000180244446,0.6736000180244446
90,15,1.0,1.0,0.4,0.0,0.48429998755455017,0.23909999430179596,0.2451999932527542,0.29030001163482666,0.7656000256538391,0.7656000256538391
90,16,0.6,-1.0,-0.4,-0.38,0.9599999785423279,0.4431000053882599,0.5168999433517456,0.48969998955726624,0.8522999882698059,0.4722999930381775
90,17,0.19999999999999996,-1.0,-0.4,-0.38,1.0,0.4674000144004822,0.5325999855995178,0.6331999897956848,0.8952999711036682,0.5152999758720398
90,18,0.0,-1.0,-0.4,-0.18999999999999995,1.0,0.46230000257492065,0.5376999974250793,0.6796000003814697,0.8682000041007996,0.6782000041007996
90,19,0.0,-1.0,-0.4,-0.0,0.5406000018119812,0.26429998874664307,0.27630001306533813,0.7520999908447266,0.8216000199317932,0.8216000199317932
90,20,0.0,-1.0,-0.4,-0.0,0.4934000074863434,0.24310000240802765,0.25029999017715454,0.6942999958992004,0.7720999717712402,0.7720999717712402
90,21,0.0,-1.0,-0.4,-0.0,0.49799999594688416,0.2451000064611435,0.25290000438690186,0.65829998254776,0.7067000269889832,0.7067000269889832
90,22,0.0,-1.0,-0.4,-0.0,0.4320000112056732,0.21570000052452087,0.21630001068115234,0.5760999917984009,0.6355000138282776,0.6355000138282776
90,23,0.0,-1.0,-0.4,-0.0,0.44200000166893005,0.2199999988079071,0.22200000286102295,0.4681999981403351,0.5830000042915344,0.5830000042915344
91,0,0.0,-1.0,-0.4,-0.0,0.44200000166893005,0.2199999988079071,0.22200000286102295,0.40049999952316284,0.5809999704360962,0.5809999704360962
91,1,0.0,-1.0,-0.4,-0.0,0.43799999356269836,0.218299999833107,0.21969999372959137,0.3167000114917755,0.5558000206947327,0.5558000206947327
91,2,0.0,-1.0,-0.4,-0.0,0.435699999332428,0.21709999442100525,0.21860000491142273,0.3197999894618988,0.5357000231742859,0.5357000231742859
91,3,0.0,-0.15871840715408325,-0.0634873628616333,-0.0,0.41999998688697815,0.2102999985218048,0.20969998836517334,0.3111000061035156,0.5162000060081482,0.5162000060081482
91,4,0.0,-0.261617511510849,-0.10464700460433961,-0.0,0.44290000200271606,0.22059999406337738,0.22230000793933868,0.29249998927116394,0.4952000081539154,0.4952000081539154
91,5,0.0,-0.6467272639274597,-0.2586909055709839,-0.0,0.46399998664855957,0.23000000417232513,0.23399998247623444,0.3111000061035156,0.5151000022888184,0.5151000022888184
91,6,0.0,-1.0,-0.4,-0.0,0.5099999904632568,0.25060001015663147,0.25939998030662537,0.3515999913215637,0.6194999814033508,0.6194999814033508
91,7,0.0,-0.7658635377883911,-0.30634541511535646,-0.0,0.46369999647140503,0.2296999990940094,0.23399999737739563,0.4074999988079071,0.7039999961853027,0.7039999961853027
91,8,0.0,-1.0,-0.4,-0.0,0.5145999789237976,0.2526000142097473,0.2619999647140503,0.38269999623298645,0.7210000157356262,0.7210000157356262
91,9,0.0,-0.8481416702270508,-0.33925666809082033,-0.0,0.4788999855518341,0.23659999668598175,0.24229998886585236,0.16539999842643738,0.652999997138977,0.652999997138977
91,10,0.0,-0.027470476925373077,-0.010988190770149231,-0.0,0.48030000925064087,0.2371000051498413,0.24320000410079956,0.037700001150369644,0.5766000151634216,0.5766000151634216
91,11,0.38,1.0,0.4,0.4,0.49309998750686646,0.24310000240802765,0.2499999850988388,-0.0017999999690800905,0.545799970626831,0.9457999467849731
91,12,0.76,1.0,0.4,0.4,0.515999972820282,0.2531000077724457,0.2628999650478363,0.017899999395012856,0.5414000153541565,0.9414000511169434
91,13,1.0,1.0,0.4,0.25263157894736843,0.578000009059906,0.28110000491142273,0.2969000041484833,0.1005999967455864,0.5740000009536743,0.8266315799010427
91,14,1.0,1.0,0.4,0.0,0.605400025844574,0.29339998960494995,0.312000036239624,0.18970000743865967,0.644599974155426,0.644599974155426
91,15,1.0,1.0,0.4,0.0,0.6200000047683716,0.299699991941452,0.32030001282691956,0.3515999913215637,0.7182999849319458,0.7182999849319458
91,16,0.6,-1.0,-0.4,-0.38,1.0,0.4982999861240387,0.5017000436782837,0.49309998750686646,0.835099995136261,0.45509999990463257
91,17,0.19999999999999996,-1.0,-0.4,-0.38,1.0,0.5260000228881836,0.4739999771118164,0.5985999703407288,0.8859000205993652,0.5059000253677368
91,18,0.0,-1.0,-0.4,-0.18999999999999995,1.0,0.5210999846458435,0.4789000153541565,0.7196000218391418,0.883400022983551,0.6934000229835511
91,19,0.0,-1.0,-0.4,-0.0,0.6359999775886536,0.3068999946117401,0.32909998297691345,0.7146999835968018,0.8377000093460083,0.8377000093460083
91,20,0.0,-1.0,-0.4,-0.0,0.5640000104904175,0.27489998936653137,0.2891000211238861,0.7032999992370605,0.7849000096321106,0.7849000096321106
91,21,0.0,-1.0,-0.4,-0.0,0.5142999887466431,0.2522999942302704,0.2619999945163727,0.6370000243186951,0.7185999751091003,0.7185999751091003
